id,Country,League_ID,League,Team,Average_Age,Currency,Market_Value,Lat,Long,Rk,MP,W,D,L,GF,GA,GD,Pts,Pts_per_Match
610,Niederlande,NL1,Eredivisie,Ajax,25.4,€,274850000,52.2434979,5.6343227,2,22,13,7,2,63,22,41,46,2.09
3302,Spanien,ES1,LaLiga,Almería,26.2,€,95700000,39.3260685,-4.8379791,17,22,6,4,12,27,40,-13,22,1
11,England,GB1,Premier League,Arsenal,25.6,€,803000000,52.5310214,-1.2649062,1,23,17,3,3,51,23,28,54,2.35
405,England,GB1,Premier League,Aston Villa,27.6,€,445800000,52.5310214,-1.2649062,11,23,8,4,11,28,38,-10,28,1.22
800,Italien,IT1,Serie A,Atalanta,26.8,€,307500000,42.6384261,12.674297,6,23,12,5,6,42,26,16,41,1.78
621,Spanien,ES1,LaLiga,Athletic Club,28.1,€,221800000,39.3260685,-4.8379791,7,22,9,5,8,31,23,8,32,1.45
13,Spanien,ES1,LaLiga,Atlético Madrid,28.8,€,489000000,39.3260685,-4.8379791,4,22,12,5,5,31,17,14,41,1.86
330,Brasilien,BRCM,Campeonato Mineiro,Atlético Mineiro,28.5,€,119400000,-10.3333333,-53.2,7,38,15,13,10,45,37,8,58,1.53
167,Deutschland,L1,Bundesliga,Augsburg,25.6,€,111150000,51.1638175,10.4478313,13,21,7,3,11,26,36,-10,24,1.14
131,Spanien,ES1,LaLiga,Barcelona,25.7,€,762000000,39.3260685,-4.8379791,1,22,19,2,1,45,7,38,59,2.68
27,Deutschland,L1,Bundesliga,Bayern Munich,26.7,€,995700000,51.1638175,10.4478313,1,21,12,7,2,61,21,40,43,2.05
294,Portugal,PO1,Liga Portugal,Benfica,25.6,€,277500000,39.6621648,-8.1353519,1,21,18,2,1,54,13,41,56,2.67
114,Türkei,TR1,Süper Lig,Beşiktaş,28.2,€,120050000,38.9597594,34.9249653,4,21,11,6,4,38,23,15,39,1.86
1025,Italien,IT1,Serie A,Bologna,25.9,€,125100000,42.6384261,12.674297,8,23,9,5,9,30,33,-3,32,1.39
989,England,GB1,Premier League,Bournemouth,26.8,€,226700000,52.5310214,-1.2649062,17,23,5,6,12,21,44,-23,21,0.91
1075,Portugal,PO1,Liga Portugal,Braga,26.2,€,106800000,39.6621648,-8.1353519,3,21,16,1,4,47,20,27,49,2.33
1148,England,GB1,Premier League,Brentford,26.1,€,305100000,52.5310214,-1.2649062,9,23,8,11,4,37,30,7,35,1.52
1237,England,GB1,Premier League,Brighton,25.2,€,308600000,52.5310214,-1.2649062,7,22,10,5,7,39,29,10,35,1.59
1132,England,GB2,Championship,Burnley,25.4,€,96550000,52.5310214,-1.2649062,1,32,21,9,2,63,27,36,72,2.25
940,Spanien,ES1,LaLiga,Celta Vigo,27.5,€,125500000,39.3260685,-4.8379791,14,22,6,6,10,23,34,-11,24,1.09
371,Schottland,SC1,Scottish Premiership,Celtic,26.4,€,104600000,56.7861112,-4.1140518,1,26,24,1,1,82,18,64,73,2.81
631,England,GB1,Premier League,Chelsea,25.5,€,1046500000,52.5310214,-1.2649062,10,23,8,7,8,23,23,0,31,1.35
2282,Belgien,BE1,Jupiler Pro League,Club Brugge,24.8,€,173750000,50.6402809,4.6667145,4,26,11,10,5,45,32,13,43,1.65
873,England,GB1,Premier League,Crystal Palace,27.5,€,309200000,52.5310214,-1.2649062,12,23,6,8,9,21,31,-10,26,1.13
419,Kroatien,KR1,SuperSport HNL,Dinamo Zagreb,25.8,€,97300000,45.3658443,15.6575209,1,21,16,4,1,55,20,35,52,2.48
16,Deutschland,L1,Bundesliga,Dortmund,24.9,€,522700000,51.1638175,10.4478313,2,21,14,1,6,44,27,17,43,2.05
24,Deutschland,L1,Bundesliga,Eint Frankfurt,25.6,€,267950000,51.1638175,10.4478313,6,21,11,5,5,42,29,13,38,1.81
